"","SeqId","TargetFullName","Target","UniProt","EntrezGeneSymbol","Units","Dilution","PlateScale_Reference","c"
"4503","8921-139","Polyadenylate-binding protein 2","PABP2","Q86U42","PABPN1","RFU",20,"742.6","PABPN1.8921.139"
"4504","8922-4","Transmembrane and coiled-coil domains protein 3","TMCC3","Q9ULS5","TMCC3","RFU",0.5,"2325.7","TMCC3.8922.4"
"4505","8923-94","Polypeptide N-acetylgalactosaminyltransferase 16","GLTL1","Q8N428","GALNT16","RFU",20,"2813.1","GALNT16.8923.94"
"4506","8924-55","Neuron-specific vesicular protein calcyon","CALY","Q9NYX4","CALY","RFU",20,"154.9","CALY.8924.55"
"4507","8925-25","Ribonucleoside-diphosphate reductase subunit M2 B","RIR2B","Q7LG56","RRM2B","RFU",20,"1017.2","RRM2B.8925.25"
"4508","8927-6","Uncharacterized protein C7orf73","CG073","E0CX11","C7orf73","RFU",20,"1009.4","C7orf73.8927.6"
"4509","8929-7","Transcription factor TFIIIB component B'' homolog","BDP1","A6H8Y1","BDP1","RFU",20,"1335.8","BDP1.8929.7"
"4510","8931-124","G0/G1 switch protein 2","G0S2","P27469","G0S2","RFU",20,"493.2","G0S2.8931.124"
"4511","8932-1","Ectonucleoside triphosphate diphosphohydrolase 6","ENTP6","O75354","ENTPD6","RFU",0.5,"1855.9","ENTPD6.8932.1"
"4512","8933-84","Myocyte-specific enhancer factor 2C","MEF2C","Q06413","MEF2C","RFU",20,"432.2","MEF2C.8933.84"
"4513","8935-22","Multidrug resistance-associated protein 6","MRP6","O95255","ABCC6","RFU",20,"835.9","ABCC6.8935.22"
"4514","8941-4","Neuroligin-3","NLGN3","Q9NZ94","NLGN3","RFU",20,"252.2","NLGN3.8941.4"
"4515","8942-2","39S ribosomal protein L21, mitochondrial","RM21","Q7Z2W9","MRPL21","RFU",0.5,"1237.8","MRPL21.8942.2"
"4517","8945-7","BRISC complex subunit Abro1","F175B","Q15018","FAM175B","RFU",20,"539.4","FAM175B.8945.7"
"4518","8946-38","Bile acid receptor","NR1H4","Q96RI1","NR1H4","RFU",20,"862.5","NR1H4.8946.38"
"4520","8948-13","Disintegrin and metalloproteinase domain-containing protein 19","ADA19","Q9H013","ADAM19","RFU",20,"710.6","ADAM19.8948.13"
"4522","8950-4","Calcium-activated chloride channel regulator 2","CLCA2","Q9UQC9","CLCA2","RFU",0.5,"1725.5","CLCA2.8950.4"
"4523","8951-162","Chondroitin sulfate proteoglycan 4","CSPG4","Q6UVK1","CSPG4","RFU",20,"606.4","CSPG4.8951.162"
"4524","8953-47","Hepatoma-derived growth factor","HDGF","P51858","HDGF","RFU",20,"722.3","HDGF.8953.47"
"4525","8955-60","Glycosyltransferase 8 domain-containing protein 1","GL8D1","Q68CQ7","GLT8D1","RFU",20,"864.2","GLT8D1.8955.60"
"4526","8956-96","Scavenger receptor class F member 2","SREC-II","Q96GP6","SCARF2","RFU",0.5,"867.7","SCARF2.8956.96"
"4527","8957-72","Endoplasmic reticulum lectin 1","XTP3B","Q96DZ1","ERLEC1","RFU",20,"971.5","ERLEC1.8957.72"
"4528","8958-51","Neural cell adhesion molecule L1-like protein","CHL1","O00533","CHL1","RFU",0.005,"1587.1","CHL1.8958.51"
"4529","8959-61","Disintegrin and metalloproteinase domain-containing protein 17","ADAM 17","P78536","ADAM17","RFU",20,"678.1","ADAM17.8959.61"
"4530","8960-3","Endoplasmic reticulum aminopeptidase 2","LRAP","Q6P179","ERAP2","RFU",0.5,"1306.6","ERAP2.8960.3"
"4531","8962-48","Ribosomal protein S6 kinase beta-1","KS6B1","P23443","RPS6KB1","RFU",20,"937.9","RPS6KB1.8962.48"
"4532","8963-8","Vesicle transport through interaction with t-SNAREs homolog 1B","Vti1-rp1","Q9UEU0","VTI1B","RFU",20,"584.1","VTI1B.8963.8"
"4534","8967-6","Dual specificity protein phosphatase 26","DUS26","Q9BV47","DUSP26","RFU",20,"3243.8","DUSP26.8967.6"
"4535","8969-49","Monocyte differentiation antigen CD14","CD14","P08571","CD14","RFU",0.005,"1148.0","CD14.8969.49"
"4536","8970-9","Receptor-interacting serine/threonine-protein kinase 2","RIPK2","O43353","RIPK2","RFU",20,"569.9","RIPK2.8970.9"
"4537","8971-9","Neurexin-1","NRX1A","Q9ULB1","NRXN1","RFU",0.5,"4090.1","NRXN1.8971.9"
"4538","8973-23","Fc receptor-like protein 4","FCRL4","Q96PJ5","FCRL4","RFU",20,"802.0","FCRL4.8973.23"
"4539","8974-172","Collagen alpha-1(XV) chain","COFA1","P39059","COL15A1","RFU",0.5,"8355.1","COL15A1.8974.172"
"4540","8975-26","Cell differentiation protein RCD1 homolog","RCD1","Q92600","RQCD1","RFU",20,"815.9","RQCD1.8975.26"
"4541","8976-13","Beta-1,4 N-acetylgalactosaminyltransferase 1","B4GN1","Q00973","B4GALNT1","RFU",20,"635.4","B4GALNT1.8976.13"
"4542","8978-30","Mitogen-activated protein kinase kinase kinase kinase 3","M4K3","Q8IVH8","MAP4K3","RFU",20,"456.7","MAP4K3.8978.30"
"4544","8980-19","Cell surface glycoprotein CD200 receptor 2","MO2R2","Q6Q8B3","CD200R1L","RFU",20,"667.9","CD200R1L.8980.19"
"4545","8982-65","Thrombospondin-3","TSP3","P49746","THBS3","RFU",0.5,"5674.7","THBS3.8982.65"
"4546","8983-7","Golgi membrane protein 1","GOLM1","Q8NBJ4","GOLM1","RFU",20,"1710.2","GOLM1.8983.7"
"4547","8985-13","Protein SERAC1","SRAC1","Q96JX3","SERAC1","RFU",20,"1866.8","SERAC1.8985.13"
"4548","8989-40","Signal peptide, CUB and EGF-like domain-containing protein 1","SCUB1","Q8IWY4","SCUBE1","RFU",20,"2824.6","SCUBE1.8989.40"
"4549","8991-115","Fc receptor-like protein 4","FCRL4","Q96PJ5","FCRL4","RFU",20,"1075.7","FCRL4.8991.115"
"4550","8992-1","Transmembrane protein 2","TMEM2","Q9UHN6","TMEM2","RFU",20,"531.6","TMEM2.8992.1"
"4551","8993-151","Receptor-interacting serine/threonine-protein kinase 2","RIPK2","O43353","RIPK2","RFU",20,"1382.7","RIPK2.8993.151"
"4552","8994-65","SLAM family member 8","SLAMF8","Q9P0V8","SLAMF8","RFU",20,"1161.2","SLAMF8.8994.65"
"4553","8998-15","Heparan sulfate glucosamine 3-O-sulfotransferase 4","HS3S4","Q9Y661","HS3ST4","RFU",20,"289.3","HS3ST4.8998.15"
"4554","8999-19","Carcinoembryonic antigen-related cell adhesion molecule 3","CEAM3","P40198","CEACAM3","RFU",20,"1007.1","CEACAM3.8999.19"
"4555","9000-177","Neutral and basic amino acid transport protein rBAT","SLC31","Q07837","SLC3A1","RFU",20,"1887.4","SLC3A1.9000.177"
"4556","9002-36","Serpin A11","SPA11","Q86U17","SERPINA11","RFU",0.5,"19679.3","SERPINA11.9002.36"
"4557","9003-99","Macrophage receptor MARCO","MARCO","Q9UEW3","MARCO","RFU",20,"1140.3","MARCO.9003.99"
"4558","9004-24","Low-density lipoprotein receptor class A domain-containing protein 4","CR001","O15165","LDLRAD4","RFU",20,"400.5","LDLRAD4.9004.24"
"4559","9005-16","Plexin-A1","PLXA1","Q9UIW2","PLXNA1","RFU",20,"8018.9","PLXNA1.9005.16"
"4560","9008-6","Transmembrane gamma-carboxyglutamic acid protein 1","TMG1","O14668","PRRG1","RFU",20,"1204.1","PRRG1.9008.6"
"4562","9012-1","Pre-mRNA-processing factor 6","PRP6","O94906","PRPF6","RFU",20,"249.3","PRPF6.9012.1"
"4563","9015-1","Proteoglycan 3","PRG3","Q9Y2Y8","PRG3","RFU",20,"1192.9","PRG3.9015.1"
"4564","9016-12","Oxysterols receptor LXR-beta","NR1H2","P55055","NR1H2","RFU",0.5,"2543.7","NR1H2.9016.12"
"4565","9017-58","Lactase-phlorizin hydrolase","LPH","P09848","LCT","RFU",20,"1372.4","LCT.9017.58"
"4566","9018-38","Protocadherin-10","PCD10","Q9P2E7","PCDH10","RFU",20,"1347.2","PCDH10.9018.38"
"4567","9021-1","Hepatitis A virus cellular receptor 1","TIM-1","Q96D42","HAVCR1","RFU",20,"815.7","HAVCR1.9021.1"
"4569","9026-40","Butyrophilin-like protein 8","BTNL8","Q6UX41","BTNL8","RFU",20,"828.3","BTNL8.9026.40"
"4570","9027-10","Neuroligin-2","NLGN2","Q8NFZ4","NLGN2","RFU",20,"334.6","NLGN2.9027.10"
"4571","9028-5","Poly(A) RNA polymerase, mitochondrial","PAPD1","Q9NVV4","MTPAP","RFU",20,"1924.3","MTPAP.9028.5"
"4572","9030-56","Uncharacterized protein C17orf89","CQ089","A1L188","C17orf89","RFU",20,"538.9","C17orf89.9030.56"
"4573","9035-2","MAX-interacting protein 1","MXI1","P50539","MXI1","RFU",20,"317.6","MXI1.9035.2"
"4574","9037-1","Syntaxin-18","STX18","Q9P2W9","STX18","RFU",20,"1558.6","STX18.9037.1"
"4575","9038-12","Protein JTB","JTB","O76095","JTB","RFU",20,"1476.9","JTB.9038.12"
"4576","9039-47","Torsin-1A-interacting protein 1","TOIP1","Q5JTV8","TOR1AIP1","RFU",0.5,"10167.0","TOR1AIP1.9039.47"
"4577","9040-144","Mammalian ependymin-related protein 1","EPDR1","Q9UM22","EPDR1","RFU",20,"833.9","EPDR1.9040.144"
"4578","9044-1","Contactin-associated protein-like 5","CNTP5","Q8WYK1","CNTNAP5","RFU",20,"1896.2","CNTNAP5.9044.1"
"4579","9045-3","Very long-chain acyl-CoA synthetase","S27A2","O14975","SLC27A2","RFU",20,"1330.9","SLC27A2.9045.3"
"4581","9049-2","Monocarboxylate transporter 4","MOT4","O15427","SLC16A3","RFU",20,"208.1","SLC16A3.9049.2"
"4582","9050-170","Arginine/serine-rich protein 1","CA063","Q9BUV0","RSRP1","RFU",20,"249.2","RSRP1.9050.170"
"4583","9051-13","Interleukin-32","IL32","P24001","IL32","RFU",20,"307.7","IL32.9051.13"
"4584","9053-16","Cysteine-rich protein 2","CRIP2","P52943","CRIP2","RFU",20,"1385.1","CRIP2.9053.16"
"4586","9055-81","Myocardial zonula adherens protein","MYZAP","P0CAP1","MYZAP","RFU",20,"167.0","MYZAP.9055.81"
"4587","9057-19","Proteasomal ubiquitin receptor ADRM1","ADRM1","Q16186","ADRM1","RFU",20,"482.3","ADRM1.9057.19"
"4588","9058-1","Mitochondrial import inner membrane translocase subunit Tim21","TIM21","Q9BVV7","TIMM21","RFU",20,"149.2","TIMM21.9058.1"
"4589","9059-14","Rap guanine nucleotide exchange factor 5","RPGF5","Q92565","RAPGEF5","RFU",20,"1698.6","RAPGEF5.9059.14"
"4590","9060-27","Protein turtle homolog B","TUTLB","Q9UPX0","IGSF9B","RFU",20,"894.9","IGSF9B.9060.27"
"4591","9061-3","Rho guanine nucleotide exchange factor 10","ARHGA","O15013","ARHGEF10","RFU",0.5,"621.8","ARHGEF10.9061.3"
"4593","9064-12","RING finger protein 215","RN215","Q9Y6U7","RNF215","RFU",20,"2008.5","RNF215.9064.12"
"4595","9068-17","Janus kinase and microtubule-interacting protein 3","JKIP3","Q5VZ66","JAKMIP3","RFU",20,"1572.9","JAKMIP3.9068.17"
"4596","9070-1","Uncharacterized protein C17orf67","CQ067","Q0P5P2","C17orf67","RFU",20,"305.3","C17orf67.9070.1"
"4598","9074-6","Fatty acid hydroxylase domain-containing protein 2","CE004","Q96IV6","FAXDC2","RFU",20,"524.2","FAXDC2.9074.6"
"4599","9075-121","UPF0258 protein KIAA1024","K1024","Q9UPX6","KIAA1024","RFU",20,"314.0","KIAA1024.9075.121"
"4600","9076-25","Proenkephalin-A","PENK","P01210","PENK","RFU",20,"9456.5","PENK.9076.25"
"4601","9077-10","Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB","MA1A2","O60476","MAN1A2","RFU",0.5,"3446.4","MAN1A2.9077.10"
"4602","9078-207","Beta-1-syntrophin","SNTB1","Q13884","SNTB1","RFU",20,"2427.0","SNTB1.9078.207"
"4604","9082-25","Protein sel-1 homolog 2","SE1L2","Q5TEA6","SEL1L2","RFU",20,"2181.7","SEL1L2.9082.25"
"4605","9087-8","NHL repeat-containing protein 3","NHLC3","Q5JS37","NHLRC3","RFU",20,"1189.6","NHLRC3.9087.8"
"4607","9089-77","Junctophilin-3","JPH3","Q8WXH2","JPH3","RFU",20,"253.1","JPH3.9089.77"
"4608","9090-9","Synaptotagmin-like protein 4","SYTL4","Q96C24","SYTL4","RFU",20,"4960.6","SYTL4.9090.9"
"4609","9092-33","Angiopoietin-related protein 1","ANGL1","O95841","ANGPTL1","RFU",20,"4004.1","ANGPTL1.9092.33"
"4610","9094-5","C-type lectin domain family 4 member C","CLC4C","Q8WTT0","CLEC4C","RFU",20,"2585.8","CLEC4C.9094.5"
"4611","9095-5","Mitochondrial fission regulator 1","MTFR1","Q15390","MTFR1","RFU",20,"1560.5","MTFR1.9095.5"
"4612","9097-5","UPF0577 protein KIAA1324","K1324","Q6UXG2","KIAA1324","RFU",20,"331.3","KIAA1324.9097.5"
"4613","9099-19","Synaptotagmin-5","SYT5","O00445","SYT5","RFU",20,"1909.4","SYT5.9099.19"
"4614","9100-32","Uncharacterized protein C5orf46","CE046","Q6UWT4","C5orf46","RFU",20,"1848.2","C5orf46.9100.32"
"4615","9102-28","Protrudin","ZFY27","Q5T4F4","ZFYVE27","RFU",20,"2072.7","ZFYVE27.9102.28"
"4616","9106-87","LysM and putative peptidoglycan-binding domain-containing protein 4","LYSM4","Q5XG99","LYSMD4","RFU",20,"333.3","LYSMD4.9106.87"
"4617","9107-59","Armadillo repeat-containing protein 10","ARM10","Q8N2F6","ARMC10","RFU",20,"379.8","ARMC10.9107.59"
"4619","9110-2","Synaptotagmin-17","SYT17","Q9BSW7","SYT17","RFU",20,"353.8","SYT17.9110.2"
"4620","9111-40","Junctophilin-4","JPH4","Q96JJ6","JPH4","RFU",20,"959.4","JPH4.9111.40"
"4621","9114-84","Uromodulin-like 1","UROL1","Q5DID0","UMODL1","RFU",20,"607.4","UMODL1.9114.84"
"4622","9115-78","ADAM DEC1","ADEC1","O15204","ADAMDEC1","RFU",20,"811.6","ADAMDEC1.9115.78"
"4623","9116-28","HEPACAM family member 2","HECA2","A8MVW5","HEPACAM2","RFU",20,"704.4","HEPACAM2.9116.28"
"4624","9117-4","Interleukin-36 gamma","IL-1F9","Q9NZH8","IL36G","RFU",20,"497.8","IL36G.9117.4"
"4625","9118-7","PH and SEC7 domain-containing protein 2","PSD2","Q9BQI7","PSD2","RFU",20,"2887.1","PSD2.9118.7"
"4626","9121-28","Galactoside 2-alpha-L-fucosyltransferase 2","FUT2","Q10981","FUT2","RFU",20,"347.6","FUT2.9121.28"
"4628","9123-18","Protein Dos","DOS","Q8N350","DOS","RFU",20,"441.5","DOS.9123.18"
"4629","9125-23","Mannan-binding lectin serine protease 1","MASP3","P48740","MASP1","RFU",20,"1969.2","MASP1.9125.23"
"4630","9126-171","5'-nucleotidase domain-containing protein 3","NT5D3","Q86UY8","NT5DC3","RFU",20,"719.6","NT5DC3.9126.171"
"4631","9127-4","Prestin","S26A5","P58743","SLC26A5","RFU",20,"154.6","SLC26A5.9127.4"
"4632","9128-34","Leucine-rich repeat transmembrane protein FLRT3","FLRT3","Q9NZU0","FLRT3","RFU",20,"1303.5","FLRT3.9128.34"
"4633","9168-31","C-C motif chemokine 26","Eotaxin-3","Q9Y258","CCL26","RFU",20,"587.6","CCL26.9168.31"
"4634","9170-24","Interleukin-17A","IL-17","Q16552","IL17A","RFU",20,"343.4","IL17A.9170.24"
"4635","9171-11","Cysteine and glycine-rich protein 3","CSRP3","P50461","CSRP3","RFU",20,"605.3","CSRP3.9171.11"
"4636","9172-69","Neutrophil collagenase","MMP-8","P22894","MMP8","RFU",20,"1088.5","MMP8.9172.69"
"4637","9173-21","Phosphoglucomutase-1","PGM1","P36871","PGM1","RFU",20,"494.0","PGM1.9173.21"
"4638","9175-48","Down syndrome cell adhesion molecule","DSCAM","O60469","DSCAM","RFU",20,"789.0","DSCAM.9175.48"
"4639","9176-3","Mucin-1","MUC1","P15941","MUC1","RFU",20,"2128.7","MUC1.9176.3"
"4640","9177-6","Protein FAM3B","FAM3B","P58499","FAM3B","RFU",20,"13221.9","FAM3B.9177.6"
"4641","9178-30","Neuregulin-1","NEUREGULIN-1","Q02297","NRG1","RFU",20,"215.5","NRG1.9178.30"
"4642","9180-6","Interferon gamma receptor 2","INGR2","P38484","IFNGR2","RFU",20,"1478.7","IFNGR2.9180.6"
"4643","9182-3","Low-density lipoprotein receptor-related protein 1, soluble","sLRP1","Q07954","LRP1","RFU",20,"1674.7","LRP1.9182.3"
"4644","9183-7","Interferon alpha/beta receptor 1","IFN-a/b R1","P17181","IFNAR1","RFU",20,"2533.1","IFNAR1.9183.7"
"4645","9185-15","Trefoil factor 1","TFF1","P04155","TFF1","RFU",20,"1139.2","TFF1.9185.15"
"4646","9187-2","Non-histone chromosomal protein HMG-14","HMGN1","P05114","HMGN1","RFU",20,"1132.4","HMGN1.9187.2"
"4647","9188-119","C-X-C motif chemokine 9","MIG","Q07325","CXCL9","RFU",20,"445.3","CXCL9.9188.119"
"4648","9190-7","CD63 antigen","CD63","P08962","CD63","RFU",20,"3856.5","CD63.9190.7"
"4649","9191-8","Trefoil factor 2","Trefoil factor 2","Q03403","TFF2","RFU",20,"8899.4","TFF2.9191.8"
"4650","9196-8","Galectin-7","Galectin-7","P47929","LGALS7","RFU",20,"3492.5","LGALS7.9196.8"
"4651","9197-4","Galectin-9","LEG9","O00182","LGALS9","RFU",20,"1759.2","LGALS9.9197.4"
"4652","9199-6","Ubiquitin-conjugating enzyme E2 G2","UB2G2","P60604","UBE2G2","RFU",0.5,"2878.6","UBE2G2.9199.6"
"4653","9201-13","Transgelin-2","Transgelin-2","P37802","TAGLN2","RFU",0.5,"1798.4","TAGLN2.9201.13"
"4654","9202-309","ATP synthase subunit O, mitochondrial","ATPO","P48047","ATP5O","RFU",20,"2455.8","ATP5O.9202.309"
"4655","9204-33","Pro-opiomelanocortin","Corticotropin-lipotropin","P01189","POMC","RFU",20,"573.2","POMC.9204.33"
"4656","9207-60","Quinone oxidoreductase-like protein 1","QORL1","O95825","CRYZL1","RFU",0.5,"1690.1","CRYZL1.9207.60"
"4657","9211-19","Pigment epithelium-derived factor","PEDF","P36955","SERPINF1","RFU",0.005,"72391.4","SERPINF1.9211.19"
"4658","9212-22","Cathepsin F","CATF","Q9UBX1","CTSF","RFU",0.5,"1356.4","CTSF.9212.22"
"4659","9215-117","Ubiquitin carboxyl-terminal hydrolase 25","UBP25","Q9UHP3","USP25","RFU",20,"801.3","USP25.9215.117"
"4660","9216-100","Plexin-B2","PLXB2","O15031","PLXNB2","RFU",0.5,"4744.0","PLXNB2.9216.100"
"4661","9219-70","Neudesin","NENF","Q9UMX5","NENF","RFU",20,"1312.2","NENF.9219.70"
"4662","9220-7","Ephrin type-B receptor 3","EPHB3","P54753","EPHB3","RFU",20,"655.6","EPHB3.9220.7"
"4663","9221-6","Inositol 1,4,5-trisphosphate receptor-interacting protein-like 1","IPIL1","Q6GPH6","ITPRIPL1","RFU",20,"1957.1","ITPRIPL1.9221.6"
"4664","9223-11","Mesencephalic astrocyte-derived neurotrophic factor","ARMET","P55145","MANF","RFU",0.5,"832.3","MANF.9223.11"
"4665","9226-6","Transmembrane and ubiquitin-like domain-containing protein 2","TMUB2","Q71RG4","TMUB2","RFU",20,"391.7","TMUB2.9226.6"
"4666","9231-23","Inositol monophosphatase 3","IMPA3","Q9NX62","IMPAD1","RFU",20,"2069.3","IMPAD1.9231.23"
"4667","9233-71","Tissue factor pathway inhibitor 2","TFPI -2","P48307","TFPI2","RFU",20,"547.0","TFPI2.9233.71"
"4668","9234-8","Twisted gastrulation protein homolog 1","TWSG1","Q9GZX9","TWSG1","RFU",0.5,"1186.2","TWSG1.9234.8"
"4669","9235-3","Plexin domain-containing protein 1","PXDC1","Q8IUK5","PLXDC1","RFU",0.5,"22764.4","PLXDC1.9235.3"
"4670","9241-40","Signal-regulatory protein gamma","SIRPG","Q9P1W8","SIRPG","RFU",20,"617.9","SIRPG.9241.40"
"4671","9243-10","Lysozyme g-like protein 1","LYG1","Q8N1E2","LYG1","RFU",20,"3557.8","LYG1.9243.10"
"4672","9244-27","Palmitoyl-protein thioesterase 1","PPT1","P50897","PPT1","RFU",0.5,"908.2","PPT1.9244.27"
"4674","9248-36","Myeloid-derived growth factor","CS010","Q969H8","MYDGF","RFU",20,"251.5","MYDGF.9248.36"
"4675","9249-17","Transmembrane protein 9","TMEM9","Q9P0T7","TMEM9","RFU",20,"221.1","TMEM9.9249.17"
"4676","9251-28","Epididymis-specific alpha-mannosidase","MA2B2","Q9Y2E5","MAN2B2","RFU",20,"2223.9","MAN2B2.9251.28"
"4677","9253-52","Histo-blood group ABO system transferase","BGAT","P16442","ABO","RFU",20,"12980.9","ABO.9253.52"
"4678","9255-5","Interleukin-17C","IL-17C","Q9P0M4","IL17C","RFU",20,"1408.3","IL17C.9255.5"
"4679","9256-78","Neuronal pentraxin-1","NPTX1","Q15818","NPTX1","RFU",0.5,"394.8","NPTX1.9256.78"
"4680","9257-14","Translational activator of cytochrome c oxidase 1","TACO1","Q9BSH4","TACO1","RFU",20,"456.2","TACO1.9257.14"
"4682","9263-57","Sialate O-acetylesterase","SIAE","Q9HAT2","SIAE","RFU",20,"333.2","SIAE.9263.57"
"4683","9264-11","Cathepsin O","CATO","P43234","CTSO","RFU",20,"659.6","CTSO.9264.11"
"4684","9265-10","Glioma pathogenesis-related protein 1","GLIP1","P48060","GLIPR1","RFU",20,"188.6","GLIPR1.9265.10"
"4685","9266-1","Triggering receptor expressed on myeloid cells 1","sTREM-1","Q9NP99","TREM1","RFU",20,"1792.9","TREM1.9266.1"
"4686","9267-2","Carboxypeptidase A4","CBPA4","Q9UI42","CPA4","RFU",20,"12946.6","CPA4.9267.2"
"4687","9275-2","Sialic acid-binding Ig-like lectin 5","Siglec-5","O15389","SIGLEC5","RFU",0.5,"8696.6","SIGLEC5.9275.2"
"4688","9276-7","Carboxypeptidase A2","CBPA2","P48052","CPA2","RFU",20,"933.6","CPA2.9276.7"
"4689","9278-9","Stromal cell-derived factor 1","SDF-1","P48061","CXCL12","RFU",0.5,"8331.8","CXCL12.9278.9"
"4691","9282-12","Cysteine-rich secretory protein 2","CRIS2","P16562","CRISP2","RFU",0.5,"1503.2","CRISP2.9282.12"
"4692","9283-8","CD44 antigen","CD44","P16070","CD44","RFU",20,"277.6","CD44.9283.8"
"4693","9287-6","Sepiapterin reductase","SPRE","P35270","SPR","RFU",20,"522.8","SPR.9287.6"
"4694","9288-7","Peptidyl-prolyl cis-trans isomerase FKBP7","FKBP7","Q9Y680","FKBP7","RFU",20,"901.2","FKBP7.9288.7"
"4695","9290-8","Regulator of microtubule dynamics protein 3","RMD3","Q96TC7","RMDN3","RFU",20,"356.5","RMDN3.9290.8"
"4696","9294-45","Microfibrillar-associated protein 2","MFAP2","P55001","MFAP2","RFU",0.5,"473.6","MFAP2.9294.45"
"4697","9296-15","Receptor-type tyrosine-protein phosphatase delta","PTPRD","P23468","PTPRD","RFU",20,"18293.2","PTPRD.9296.15"
"4698","9297-12","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8","B3GN8","Q7Z7M8","B3GNT8","RFU",20,"2131.5","B3GNT8.9297.12"
"4699","9302-90","Growth arrest and DNA damage-inducible proteins-interacting protein 1","G45IP","Q8TAE8","GADD45GIP1","RFU",20,"335.0","GADD45GIP1.9302.90"
"4700","9306-7","Beta-defensin 118","DB118","Q96PH6","DEFB118","RFU",20,"480.6","DEFB118.9306.7"
"4701","9310-2","T-cell surface glycoprotein CD8 beta chain","CD8B","P10966","CD8B","RFU",20,"1652.3","CD8B.9310.2"
"4702","9312-8","Zinc-alpha-2-glycoprotein","AZGP1","P25311","AZGP1","RFU",0.005,"8975.8","AZGP1.9312.8"
"4703","9313-27","Cerebellin-1","CBLN1","P23435","CBLN1","RFU",0.5,"1702.2","CBLN1.9313.27"
"4704","9315-16","Mitochondrial ubiquitin ligase activator of NFKB 1","MUL1","Q969V5","MUL1","RFU",20,"1818.9","MUL1.9315.16"
"4705","9316-67","WAP four-disulfide core domain protein 1","WFDC1","Q9HC57","WFDC1","RFU",20,"5838.3","WFDC1.9316.67"
"4706","9319-59","Transmembrane emp24 domain-containing protein 4","TMED4","Q7Z7H5","TMED4","RFU",20,"210.1","TMED4.9319.59"
"4707","9321-400","Neuromedin-B","NMB","P08949","NMB","RFU",20,"867.0","NMB.9321.400"
"4708","9326-33","Inter-alpha-trypsin inhibitor heavy chain H2","ITI heavy chain H2","P19823","ITIH2","RFU",0.005,"80491.2","ITIH2.9326.33"
"4709","9327-3","Ly6/PLAUR domain-containing protein 1","LYPD1","Q8N2G4","LYPD1","RFU",20,"440.2","LYPD1.9327.3"
"4710","9329-28","Trem-like transcript 1 protein","TRML1","Q86YW5","TREML1","RFU",20,"563.8","TREML1.9329.28"
"4712","9333-59","Endoplasmic reticulum resident protein 27","ERP27","Q96DN0","ERP27","RFU",20,"361.7","ERP27.9333.59"
"4713","9335-28","Pregnancy-specific beta-1-glycoprotein 9","PSG9","Q00887","PSG9","RFU",20,"17808.3","PSG9.9335.28"
"4714","9337-43","Protachykinin-1","TKN1","P20366","TAC1","RFU",20,"263.7","TAC1.9337.43"
"4716","9339-204","Peptidyl-prolyl cis-trans isomerase FKBP2","FKBP2","P26885","FKBP2","RFU",20,"879.6","FKBP2.9339.204"
"4717","9340-17","Peptidyl-prolyl cis-trans isomerase FKBP14","FKB14","Q9NWM8","FKBP14","RFU",20,"1049.6","FKBP14.9340.17"
"4718","9341-1","Platelet-derived growth factor D","PDGFD","Q9GZP0","PDGFD","RFU",0.5,"2228.1","PDGFD.9341.1"
"4719","9343-16","Interleukin-2 receptor subunit beta","IL-2 sRb","P14784","IL2RB","RFU",20,"1861.0","IL2RB.9343.16"
"4720","9345-436","WAP four-disulfide core domain protein 13","WFD13","Q8IUB5","WFDC13","RFU",20,"279.2","WFDC13.9345.436"
"4722","9348-1","Complement C1r subcomponent-like protein","C1RL1","Q9NZP8","C1RL","RFU",0.005,"585.2","C1RL.9348.1"
"4723","9350-3","Follistatin-related protein 4","FSTL4","Q6MZW2","FSTL4","RFU",20,"1528.4","FSTL4.9350.3"
"4726","9357-4","Protein CREG1","CREG1","O75629","CREG1","RFU",0.5,"1899.6","CREG1.9357.4"
"4728","9359-9","Protein delta homolog 2","EGFL9","Q6UY11","DLK2","RFU",20,"1852.6","DLK2.9359.9"
"4729","9360-33","EGF-like repeat and discoidin I-like domain-containing protein 3","EDIL3","O43854","EDIL3","RFU",20,"2307.5","EDIL3.9360.33"
"4730","9361-7","Protocadherin alpha-C2","PCDC2","Q9Y5I4","PCDHAC2","RFU",20,"513.9","PCDHAC2.9361.7"
"4732","9363-11","Cancer/testis antigen 55","CX048","Q8WUE5","CT55","RFU",20,"732.4","CT55.9363.11"
"4733","9365-91","Protein eyes shut homolog","EYS","Q5T1H1","EYS","RFU",20,"703.5","EYS.9365.91"
"4734","9366-54","Interleukin-21 receptor","IL-21 sR","Q9HBE5","IL21R","RFU",20,"1548.2","IL21R.9366.54"
"4735","9368-64","Leucine-rich repeat and transmembrane domain-containing protein 1","LRTM1","Q9HBL6","LRTM1","RFU",20,"503.9","LRTM1.9368.64"
"4736","9369-174","Leucine-rich repeat-containing protein 4C","NGL1","Q9HCJ2","LRRC4C","RFU",20,"728.2","LRRC4C.9369.174"
"4737","9370-69","Gamma-glutamyl hydrolase","GGH","Q92820","GGH","RFU",0.5,"3381.0","GGH.9370.69"
"4738","9372-157","Myelin protein zero-like protein 2","MPZL2","O60487","MPZL2","RFU",20,"1296.0","MPZL2.9372.157"
